iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,77.7262,13.6260,161.00,145.00,179.35,159.81,0.5405,0,correlation 0.54 <= 0.7
2,77.7113,13.7019,161.00,151.00,171.75,160.29,0.5160,0,correlation 0.52 <= 0.7
2,77.6974,13.5773,169.00,147.00,177.82,162.25,0.5920,0,correlation 0.59 <= 0.7
2,77.7214,13.7123,147.00,149.00,172.85,160.25,0.5550,0,correlation 0.56 <= 0.7
2,77.9128,14.5247,121.00,165.00,149.62,159.47,0.1926,0,correlation 0.19 <= 0.7
2,77.9777,14.5710,141.00,139.00,162.20,158.29,0.8279,0,centroids differ by 3.9 km
2,77.9746,14.5248,145.00,137.00,164.53,157.32,0.8345,0,centroids differ by 7.2 km
2,77.9789,14.5841,141.00,139.00,161.71,158.40,0.8226,0,centroids differ by 3.3 km
2,77.9276,14.5690,121.00,167.00,149.77,158.74,0.1731,0,correlation 0.17 <= 0.7
2,77.9779,14.6497,133.00,163.00,156.70,158.56,0.6427,0,correlation 0.64 <= 0.7
2,77.9544,14.5249,143.00,163.00,158.01,156.47,0.7089,0,centroids differ by 1.5 km
2,77.9078,14.5957,111.00,171.00,143.65,160.74,-0.0759,0,correlation -0.08 <= 0.7
2,77.9129,14.5304,121.00,165.00,149.23,159.70,0.1745,0,correlation 0.17 <= 0.7
2,77.9312,14.5632,123.00,167.00,150.84,158.37,0.2402,0,correlation 0.24 <= 0.7
2,77.9879,14.6126,145.00,161.00,163.28,158.69,0.7889,0,centroids differ by 4.6 km
2,77.9457,14.5750,125.00,145.00,151.73,157.31,0.4318,0,correlation 0.43 <= 0.7
2,77.9305,14.5546,123.00,167.00,151.32,158.65,0.2615,0,correlation 0.26 <= 0.7
2,77.9566,14.6338,131.00,143.00,150.60,158.05,0.4093,0,correlation 0.41 <= 0.7
2,77.9362,14.6313,117.00,143.00,146.88,158.43,0.1350,0,correlation 0.14 <= 0.7
2,77.9339,14.5578,123.00,167.00,151.52,158.18,0.2915,0,correlation 0.29 <= 0.7
2,77.9230,14.5147,127.00,163.00,152.51,159.05,0.3457,0,correlation 0.35 <= 0.7
2,77.9383,14.5519,125.00,164.00,152.23,157.78,0.3659,0,correlation 0.37 <= 0.7
2,77.9197,14.5284,123.00,166.00,150.92,159.59,0.2525,0,correlation 0.25 <= 0.7
2,77.9605,14.6122,133.00,141.00,153.35,157.78,0.5573,0,correlation 0.56 <= 0.7
2,77.9408,14.5962,121.00,143.00,149.45,157.77,0.2887,0,correlation 0.29 <= 0.7
2,77.9071,14.5762,113.00,167.00,144.82,160.66,-0.0307,0,correlation -0.03 <= 0.7
2,77.9247,14.5029,127.00,163.00,153.67,158.61,0.4168,0,correlation 0.42 <= 0.7
2,77.9510,14.6454,123.00,143.00,147.96,158.26,0.2791,0,correlation 0.28 <= 0.7
2,77.9309,14.5025,129.00,164.00,154.75,158.51,0.4832,0,correlation 0.48 <= 0.7
2,77.9914,14.5796,153.00,159.00,167.15,158.69,0.7581,0,centroids differ by 8.5 km
2,77.9090,14.5652,115.00,167.00,145.93,160.48,0.0165,0,correlation 0.02 <= 0.7
2,77.9679,14.5397,143.00,139.00,160.99,157.15,0.8444,0,centroids differ by 3.8 km
2,77.9892,14.6340,145.00,161.00,162.27,158.61,0.7639,0,centroids differ by 3.7 km
2,77.9952,14.5519,159.00,159.00,170.87,158.62,0.6401,0,correlation 0.64 <= 0.7
2,77.9516,14.5852,131.00,141.00,152.53,157.50,0.5100,0,correlation 0.51 <= 0.7
2,77.9434,14.5200,129.00,163.00,155.24,157.53,0.5453,0,correlation 0.55 <= 0.7
2,77.9067,14.5083,119.00,165.00,149.33,158.83,0.1803,0,correlation 0.18 <= 0.7
2,77.9496,14.6265,125.00,143.00,148.92,158.00,0.3198,0,correlation 0.32 <= 0.7
2,77.9681,14.5198,145.00,137.00,162.60,156.73,0.8658,0,centroids differ by 5.9 km
2,77.9370,14.5207,127.00,165.00,154.15,158.29,0.4570,0,correlation 0.46 <= 0.7
2,77.8635,14.1874,142.94,179.00,162.17,159.70,0.7142,0,centroids differ by 2.5 km
2,77.8193,14.1332,129.00,165.00,159.90,161.78,0.7113,0,centroids differ by 1.9 km
2,77.8759,14.1934,145.00,175.00,163.93,159.13,0.7210,0,centroids differ by 4.8 km
2,77.8053,14.1876,127.00,169.00,153.15,162.91,0.4849,0,correlation 0.48 <= 0.7
2,77.8009,14.2083,115.00,167.00,150.23,163.32,0.3609,0,correlation 0.36 <= 0.7
2,77.8357,14.1859,131.00,161.00,159.31,161.04,0.6461,0,correlation 0.65 <= 0.7
2,77.8845,14.2109,145.00,171.00,165.01,158.99,0.7165,0,centroids differ by 6.0 km
2,77.8113,14.2263,125.00,163.00,151.54,162.93,0.3867,0,correlation 0.39 <= 0.7
2,77.7983,14.2692,113.00,167.00,144.60,164.16,0.0818,0,correlation 0.08 <= 0.7
2,77.8460,14.2044,133.00,161.00,159.14,160.65,0.6021,0,correlation 0.60 <= 0.7
