iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.9128,11.8021,169.00,185.00,173.10,165.22,0.4544,0,correlation 0.45 <= 0.7
2,78.9021,11.7764,165.00,167.00,172.25,165.34,0.6049,0,correlation 0.60 <= 0.7
2,78.9415,11.7127,173.00,213.00,174.69,166.66,0.4271,0,correlation 0.43 <= 0.7
2,78.8690,11.8127,159.00,249.00,169.69,166.08,-0.3320,0,correlation -0.33 <= 0.7
2,78.8889,11.7634,163.00,155.00,171.10,165.63,0.4222,0,correlation 0.42 <= 0.7
2,78.9012,11.8017,165.00,171.00,172.30,165.25,0.4573,0,correlation 0.46 <= 0.7
2,78.8773,11.7497,161.00,141.00,170.10,165.73,0.0872,0,correlation 0.09 <= 0.7
2,78.8728,11.7242,160.00,135.00,169.70,165.92,0.0643,0,correlation 0.06 <= 0.7
2,78.8787,11.7869,161.00,141.00,170.38,165.83,-0.0721,0,correlation -0.07 <= 0.7
2,78.8957,11.7291,165.00,161.00,171.49,165.76,0.7719,0,centroids differ by 5.7 km
2,78.8935,11.7647,163.00,161.00,171.51,165.57,0.5398,0,correlation 0.54 <= 0.7
2,78.5941,10.6293,113.00,80.00,147.89,160.62,0.5737,0,correlation 0.57 <= 0.7
2,78.5745,10.5815,127.00,85.00,147.64,162.31,0.6595,0,correlation 0.66 <= 0.7
2,78.5344,10.5820,119.00,157.00,146.84,166.36,-0.3064,0,correlation -0.31 <= 0.7
2,78.5536,10.6344,125.00,165.00,146.93,165.02,0.2810,0,correlation 0.28 <= 0.7
2,78.5446,10.5987,123.00,173.00,146.91,165.67,-0.0371,0,correlation -0.04 <= 0.7
2,78.6093,10.6719,127.50,80.00,148.14,159.35,0.6007,0,correlation 0.60 <= 0.7
2,78.6149,10.6485,117.00,82.00,148.48,158.26,0.5931,0,correlation 0.59 <= 0.7
2,78.5562,10.5872,125.00,123.00,147.32,164.34,0.5402,0,correlation 0.54 <= 0.7
2,78.6020,10.5514,115.00,83.00,148.62,159.56,0.5204,0,correlation 0.52 <= 0.7
2,78.6179,10.5977,129.19,91.00,148.88,157.66,0.6271,0,correlation 0.63 <= 0.7
2,78.5383,10.6452,121.00,153.00,146.43,166.27,-0.3573,0,correlation -0.36 <= 0.7
