iteration,footpoint_lat,footpoint_lon,peak_lyr_km,peak_nya_km,centroid_lyr_km,centroid_nya_km,corr,accepted,reason
2,78.4543,7.7978,129.00,115.00,155.70,161.35,0.7750,0,centroids differ by 5.6 km
2,78.4839,7.7412,129.00,113.00,156.46,160.50,0.6906,0,correlation 0.69 <= 0.7
2,78.4986,7.8159,131.00,111.00,156.95,160.16,0.6827,0,correlation 0.68 <= 0.7
2,78.4723,7.8021,127.00,117.00,155.88,160.36,0.7172,0,centroids differ by 4.5 km
2,78.4925,7.8442,131.00,111.00,156.52,159.98,0.6770,0,correlation 0.68 <= 0.7
2,78.4810,7.8846,127.00,115.00,155.86,159.83,0.7015,0,centroids differ by 4.0 km
2,78.4698,7.7741,129.00,117.00,155.94,160.58,0.7218,0,centroids differ by 4.6 km
2,78.5289,7.8688,134.98,113.00,158.95,160.20,0.7512,0,centroids differ by 1.3 km
2,78.4697,7.7734,129.00,119.00,155.94,160.59,0.7219,0,centroids differ by 4.6 km
2,78.4843,7.8104,129.00,109.00,156.23,160.14,0.6920,0,correlation 0.69 <= 0.7
2,78.4742,7.8745,127.00,115.00,155.66,160.02,0.7149,0,centroids differ by 4.4 km
2,78.4494,7.7646,129.00,117.00,155.90,161.76,0.7843,0,centroids differ by 5.9 km
2,78.4715,7.8263,127.00,117.00,155.76,160.28,0.7193,0,centroids differ by 4.5 km
2,78.4855,7.7713,129.00,113.00,156.41,160.32,0.6878,0,correlation 0.69 <= 0.7
2,78.5344,7.8380,141.00,80.00,159.40,160.23,0.7551,0,NYA peak not clear against upper and lower means
2,78.4480,7.7780,129.00,117.00,155.83,161.81,0.7923,0,centroids differ by 6.0 km
2,78.4889,7.8447,129.00,111.00,156.32,159.95,0.6807,0,correlation 0.68 <= 0.7
2,78.4690,7.7979,129.00,117.00,155.82,160.49,0.7263,0,centroids differ by 4.7 km
2,78.4634,7.7600,129.00,119.00,155.92,160.90,0.7363,0,centroids differ by 5.0 km
2,78.4444,7.6464,131.00,123.00,156.54,162.48,0.7620,0,centroids differ by 5.9 km
