index,sample,lyr_image,nya_image,event_utc,lat1,lat2,lon1,lon2,n_lines,lyr_mean_km,lyr_median_km,lyr_std_km,lyr_sem_km,nya_mean_km,nya_median_km,nya_std_km,nya_sem_km,both_mean_km,both_median_km,both_std_km,both_sem_km,lyr_mean_profile_peak_km,nya_mean_profile_peak_km,both_mean_profile_peak_km,out_dir
12,RGBproduct,BACC_LYR_20200103_090013.png,BACC_NYA_20200103_090013.png,2020-01-03 09:00:13,76.6,78.6,8.0,18.0,4,182.0,188.0,25.2,12.6,163.5,187.0,56.1,28.0,172.8,187.0,41.4,14.7,202.0,186.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
13,greyscale,BACC_LYR_20200103_090014.png,BACC_NYA_20200103_090014.png,2020-01-03 09:00:14,76.6,78.6,8.0,18.0,8,194.8,188.0,29.0,10.3,179.2,193.0,40.9,14.5,187.0,191.0,35.2,8.8,204.0,188.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
13,RGBproduct,BACC_LYR_20200103_090014.png,BACC_NYA_20200103_090014.png,2020-01-03 09:00:14,76.6,78.6,8.0,18.0,5,202.0,210.0,33.5,15.0,192.4,188.0,11.6,5.2,197.2,193.0,24.2,7.6,200.0,188.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
14,greyscale,BACC_LYR_20200103_090015.png,BACC_NYA_20200103_090015.png,2020-01-03 09:00:15,76.6,78.6,8.0,18.0,10,195.2,201.0,41.8,13.2,193.0,196.0,9.6,3.0,194.1,196.0,29.5,6.6,198.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
14,RGBproduct,BACC_LYR_20200103_090015.png,BACC_NYA_20200103_090015.png,2020-01-03 09:00:15,76.6,78.6,8.0,18.0,8,178.5,189.0,39.5,14.0,193.5,194.0,8.7,3.1,186.0,191.0,28.7,7.2,184.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
15,greyscale,BACC_LYR_20200103_090016.png,BACC_NYA_20200103_090016.png,2020-01-03 09:00:16,76.6,78.6,8.0,18.0,14,204.9,209.0,18.6,5.0,192.4,196.0,7.7,2.1,198.6,196.0,15.4,2.9,198.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
15,RGBproduct,BACC_LYR_20200103_090016.png,BACC_NYA_20200103_090016.png,2020-01-03 09:00:16,76.6,78.6,8.0,18.0,8,203.5,199.0,17.4,6.1,196.8,196.0,3.8,1.4,200.1,196.0,12.7,3.2,196.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
16,greyscale,BACC_LYR_20200103_090017.png,BACC_NYA_20200103_090017.png,2020-01-03 09:00:17,76.6,78.6,8.0,18.0,14,200.0,200.0,19.0,5.1,192.9,194.0,11.8,3.2,196.4,194.0,15.9,3.0,196.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
16,RGBproduct,BACC_LYR_20200103_090017.png,BACC_NYA_20200103_090017.png,2020-01-03 09:00:17,76.6,78.6,8.0,18.0,8,200.2,201.0,17.9,6.3,192.5,194.0,6.0,2.1,196.4,194.0,13.5,3.4,196.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
17,greyscale,BACC_LYR_20200103_090018.png,BACC_NYA_20200103_090018.png,2020-01-03 09:00:18,76.6,78.6,8.0,18.0,16,192.5,189.0,22.1,5.5,189.5,194.0,14.4,3.6,191.0,194.0,18.4,3.3,216.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
