index,sample,lyr_image,nya_image,event_utc,lat1,lat2,lon1,lon2,n_lines,lyr_mean_km,lyr_median_km,lyr_std_km,lyr_sem_km,nya_mean_km,nya_median_km,nya_std_km,nya_sem_km,both_mean_km,both_median_km,both_std_km,both_sem_km,lyr_mean_profile_peak_km,nya_mean_profile_peak_km,both_mean_profile_peak_km,out_dir
37,RGBproduct,BACC_LYR_20200103_090038.png,BACC_NYA_20200103_090038.png,2020-01-03 09:00:38,76.6,78.6,8.0,18.0,27,197.5,204.0,22.0,4.2,197.3,200.0,12.0,2.3,197.4,202.0,17.5,2.4,192.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
38,greyscale,BACC_LYR_20200103_090039.png,BACC_NYA_20200103_090039.png,2020-01-03 09:00:39,76.6,78.6,8.0,18.0,23,192.9,192.0,27.4,5.7,191.0,186.0,15.2,3.2,191.9,188.0,21.9,3.2,194.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
38,RGBproduct,BACC_LYR_20200103_090039.png,BACC_NYA_20200103_090039.png,2020-01-03 09:00:39,76.6,78.6,8.0,18.0,27,191.0,192.0,18.8,3.6,194.0,194.0,11.2,2.2,192.5,194.0,15.4,2.1,196.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
39,greyscale,BACC_LYR_20200103_090040.png,BACC_NYA_20200103_090040.png,2020-01-03 09:00:40,76.6,78.6,8.0,18.0,18,183.2,178.0,26.4,6.2,188.6,183.0,15.9,3.7,185.9,183.0,21.6,3.6,188.0,184.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
39,RGBproduct,BACC_LYR_20200103_090040.png,BACC_NYA_20200103_090040.png,2020-01-03 09:00:40,76.6,78.6,8.0,18.0,17,179.1,184.0,19.5,4.7,192.4,190.0,10.9,2.6,185.7,184.0,16.9,2.9,192.0,184.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
40,greyscale,BACC_LYR_20200103_090041.png,BACC_NYA_20200103_090041.png,2020-01-03 09:00:41,76.6,78.6,8.0,18.0,16,184.2,180.0,25.0,6.2,186.8,179.0,15.0,3.8,185.5,179.0,20.3,3.6,162.0,184.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
40,RGBproduct,BACC_LYR_20200103_090041.png,BACC_NYA_20200103_090041.png,2020-01-03 09:00:41,76.6,78.6,8.0,18.0,14,180.1,167.0,22.3,6.0,190.4,185.0,15.7,4.2,185.3,179.0,19.6,3.7,162.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
41,greyscale,BACC_LYR_20200103_090042.png,BACC_NYA_20200103_090042.png,2020-01-03 09:00:42,76.6,78.6,8.0,18.0,21,199.7,206.0,28.8,6.3,194.4,192.0,15.8,3.4,197.0,196.0,23.1,3.6,208.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
41,RGBproduct,BACC_LYR_20200103_090042.png,BACC_NYA_20200103_090042.png,2020-01-03 09:00:42,76.6,78.6,8.0,18.0,13,180.6,176.0,22.3,6.2,190.9,184.0,15.5,4.3,185.8,184.0,19.5,3.8,164.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
42,greyscale,BACC_LYR_20200103_090043.png,BACC_NYA_20200103_090043.png,2020-01-03 09:00:43,76.6,78.6,8.0,18.0,28,196.7,193.0,25.2,4.8,196.3,194.0,16.6,3.1,196.5,194.0,21.2,2.8,188.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
42,RGBproduct,BACC_LYR_20200103_090043.png,BACC_NYA_20200103_090043.png,2020-01-03 09:00:43,76.6,78.6,8.0,18.0,25,189.5,184.0,25.9,5.2,193.6,190.0,18.1,3.6,191.6,188.0,22.2,3.1,170.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
43,greyscale,BACC_LYR_20200103_090044.png,BACC_NYA_20200103_090044.png,2020-01-03 09:00:44,76.6,78.6,8.0,18.0,30,195.6,204.0,26.1,4.8,193.1,189.0,15.4,2.8,194.4,195.0,21.3,2.8,188.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
43,RGBproduct,BACC_LYR_20200103_090044.png,BACC_NYA_20200103_090044.png,2020-01-03 09:00:44,76.6,78.6,8.0,18.0,27,194.8,204.0,26.3,5.1,194.9,190.0,15.1,2.9,194.9,195.0,21.2,2.9,170.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
44,greyscale,BACC_LYR_20200103_090045.png,BACC_NYA_20200103_090045.png,2020-01-03 09:00:45,76.6,78.6,8.0,18.0,35,191.4,196.0,22.6,3.8,189.9,190.0,15.1,2.6,190.7,192.0,19.1,2.3,172.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
44,RGBproduct,BACC_LYR_20200103_090045.png,BACC_NYA_20200103_090045.png,2020-01-03 09:00:45,76.6,78.6,8.0,18.0,25,193.2,196.0,21.4,4.3,192.7,192.0,14.0,2.8,193.0,194.0,17.9,2.5,176.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
45,greyscale,BACC_LYR_20200103_090046.png,BACC_NYA_20200103_090046.png,2020-01-03 09:00:46,76.6,78.6,8.0,18.0,37,182.6,188.0,16.4,2.7,194.3,192.0,14.8,2.4,188.5,189.0,16.6,1.9,168.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
45,RGBproduct,BACC_LYR_20200103_090046.png,BACC_NYA_20200103_090046.png,2020-01-03 09:00:46,76.6,78.6,8.0,18.0,33,183.5,182.0,15.0,2.6,192.8,190.0,15.8,2.8,188.2,188.0,16.0,2.0,172.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
46,greyscale,BACC_LYR_20200103_090047.png,BACC_NYA_20200103_090047.png,2020-01-03 09:00:47,76.6,78.6,8.0,18.0,25,179.8,176.0,20.0,4.0,192.6,192.0,13.5,2.7,186.2,187.0,18.1,2.6,166.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
46,RGBproduct,BACC_LYR_20200103_090047.png,BACC_NYA_20200103_090047.png,2020-01-03 09:00:47,76.6,78.6,8.0,18.0,24,177.8,177.0,12.3,2.5,192.3,189.0,14.9,3.0,185.0,184.0,15.4,2.2,168.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
47,greyscale,BACC_LYR_20200103_090048.png,BACC_NYA_20200103_090048.png,2020-01-03 09:00:48,76.6,78.6,8.0,18.0,26,184.3,186.0,28.0,5.5,189.7,190.0,25.6,5.0,187.0,188.0,26.7,3.7,192.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
47,RGBproduct,BACC_LYR_20200103_090048.png,BACC_NYA_20200103_090048.png,2020-01-03 09:00:48,76.6,78.6,8.0,18.0,27,185.9,184.0,20.7,4.0,195.7,192.0,17.4,3.3,190.8,188.0,19.6,2.7,172.0,184.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
48,greyscale,BACC_LYR_20200103_090049.png,BACC_NYA_20200103_090049.png,2020-01-03 09:00:49,76.6,78.6,8.0,18.0,29,185.9,180.0,26.9,5.0,194.3,190.0,21.2,3.9,190.1,188.0,24.4,3.2,178.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
48,RGBproduct,BACC_LYR_20200103_090049.png,BACC_NYA_20200103_090049.png,2020-01-03 09:00:49,76.6,78.6,8.0,18.0,30,183.7,178.0,24.4,4.4,191.8,189.0,20.8,3.8,187.7,186.0,22.8,2.9,180.0,184.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
49,greyscale,BACC_LYR_20200103_090050.png,BACC_NYA_20200103_090050.png,2020-01-03 09:00:50,76.6,78.6,8.0,18.0,25,183.8,178.0,28.9,5.8,193.5,194.0,21.2,4.2,188.6,189.0,25.6,3.6,178.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
49,RGBproduct,BACC_LYR_20200103_090050.png,BACC_NYA_20200103_090050.png,2020-01-03 09:00:50,76.6,78.6,8.0,18.0,27,178.7,176.0,22.6,4.3,191.9,190.0,21.3,4.1,185.3,184.0,22.8,3.1,178.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
50,greyscale,BACC_LYR_20200103_090051.png,BACC_NYA_20200103_090051.png,2020-01-03 09:00:51,76.6,78.6,8.0,18.0,19,183.9,184.0,32.2,7.4,190.0,190.0,22.1,5.1,186.9,188.0,27.4,4.4,184.0,204.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
50,RGBproduct,BACC_LYR_20200103_090051.png,BACC_NYA_20200103_090051.png,2020-01-03 09:00:51,76.6,78.6,8.0,18.0,19,182.4,184.0,33.0,7.6,191.1,188.0,22.0,5.0,186.7,188.0,28.0,4.5,184.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
51,greyscale,BACC_LYR_20200103_090052.png,BACC_NYA_20200103_090052.png,2020-01-03 09:00:52,76.6,78.6,8.0,18.0,28,196.5,195.0,23.3,4.4,189.8,188.0,16.8,3.2,193.1,193.0,20.4,2.7,202.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
51,RGBproduct,BACC_LYR_20200103_090052.png,BACC_NYA_20200103_090052.png,2020-01-03 09:00:52,76.6,78.6,8.0,18.0,20,197.9,193.0,25.6,5.7,194.9,194.0,18.9,4.2,196.4,194.0,22.3,3.5,190.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
52,greyscale,BACC_LYR_20200103_090053.png,BACC_NYA_20200103_090053.png,2020-01-03 09:00:53,76.6,78.6,8.0,18.0,35,185.5,186.0,30.4,5.1,183.5,188.0,33.0,5.6,184.5,188.0,31.5,3.8,196.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
52,RGBproduct,BACC_LYR_20200103_090053.png,BACC_NYA_20200103_090053.png,2020-01-03 09:00:53,76.6,78.6,8.0,18.0,34,185.1,184.0,29.7,5.1,185.1,188.0,26.6,4.6,185.1,187.0,28.0,3.4,186.0,186.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
53,greyscale,BACC_LYR_20200103_090054.png,BACC_NYA_20200103_090054.png,2020-01-03 09:00:54,76.6,78.6,8.0,18.0,32,181.1,193.0,35.1,6.2,177.2,188.0,37.2,6.6,179.2,189.0,35.9,4.5,202.0,186.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
53,RGBproduct,BACC_LYR_20200103_090054.png,BACC_NYA_20200103_090054.png,2020-01-03 09:00:54,76.6,78.6,8.0,18.0,30,188.5,196.0,29.0,5.3,184.1,189.0,30.9,5.6,186.3,193.0,29.8,3.8,202.0,186.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
54,greyscale,BACC_LYR_20200103_090055.png,BACC_NYA_20200103_090055.png,2020-01-03 09:00:55,76.6,78.6,8.0,18.0,23,188.5,198.0,37.1,7.7,185.8,202.0,36.3,7.6,187.2,201.0,36.3,5.4,198.0,204.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
54,RGBproduct,BACC_LYR_20200103_090055.png,BACC_NYA_20200103_090055.png,2020-01-03 09:00:55,76.6,78.6,8.0,18.0,22,189.5,199.0,34.1,7.3,189.2,202.0,34.3,7.3,189.4,202.0,33.8,5.1,198.0,202.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
55,greyscale,BACC_LYR_20200103_090056.png,BACC_NYA_20200103_090056.png,2020-01-03 09:00:56,76.6,78.6,8.0,18.0,28,181.2,196.0,38.5,7.3,179.2,191.0,41.3,7.8,180.2,195.0,39.6,5.3,196.0,202.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
55,RGBproduct,BACC_LYR_20200103_090056.png,BACC_NYA_20200103_090056.png,2020-01-03 09:00:56,76.6,78.6,8.0,18.0,28,181.0,196.0,38.8,7.3,179.0,195.0,43.0,8.1,180.0,196.0,40.6,5.4,196.0,202.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
56,greyscale,BACC_LYR_20200103_090057.png,BACC_NYA_20200103_090057.png,2020-01-03 09:00:57,76.6,78.6,8.0,18.0,25,179.7,192.0,39.1,7.8,177.9,190.0,46.0,9.2,178.8,191.0,42.3,6.0,196.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
56,RGBproduct,BACC_LYR_20200103_090057.png,BACC_NYA_20200103_090057.png,2020-01-03 09:00:57,76.6,78.6,8.0,18.0,27,179.1,186.0,36.2,7.0,175.3,188.0,44.7,8.6,177.2,187.0,40.4,5.5,192.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
57,greyscale,BACC_LYR_20200103_090058.png,BACC_NYA_20200103_090058.png,2020-01-03 09:00:58,76.6,78.6,8.0,18.0,24,176.7,180.0,36.5,7.4,169.5,185.0,39.8,8.1,173.1,183.0,37.9,5.5,192.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
57,RGBproduct,BACC_LYR_20200103_090058.png,BACC_NYA_20200103_090058.png,2020-01-03 09:00:58,76.6,78.6,8.0,18.0,28,177.5,180.0,35.2,6.6,174.4,190.0,37.3,7.1,176.0,188.0,36.0,4.8,166.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
58,greyscale,BACC_LYR_20200103_090059.png,BACC_NYA_20200103_090059.png,2020-01-03 09:00:59,76.6,78.6,8.0,18.0,28,179.7,180.0,40.0,7.6,184.0,197.0,40.7,7.7,181.9,189.0,40.0,5.4,192.0,200.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
58,RGBproduct,BACC_LYR_20200103_090059.png,BACC_NYA_20200103_090059.png,2020-01-03 09:00:59,76.6,78.6,8.0,18.0,25,178.0,172.0,35.6,7.1,185.6,196.0,38.1,7.6,181.8,189.0,36.7,5.2,188.0,198.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
59,greyscale,BACC_LYR_20200103_090100.png,BACC_NYA_20200103_090100.png,2020-01-03 09:01:00,76.6,78.6,8.0,18.0,28,180.6,197.0,43.7,8.3,181.6,192.0,38.3,7.2,181.1,196.0,40.7,5.4,198.0,210.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
59,RGBproduct,BACC_LYR_20200103_090100.png,BACC_NYA_20200103_090100.png,2020-01-03 09:01:00,76.6,78.6,8.0,18.0,25,175.0,178.0,36.6,7.3,180.2,188.0,36.8,7.4,177.6,187.0,36.4,5.1,172.0,198.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
60,greyscale,BACC_LYR_20200103_090101.png,BACC_NYA_20200103_090101.png,2020-01-03 09:01:01,76.6,78.6,8.0,18.0,17,183.6,178.0,34.0,8.3,185.8,184.0,30.4,7.4,184.7,183.0,31.8,5.5,176.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
60,RGBproduct,BACC_LYR_20200103_090101.png,BACC_NYA_20200103_090101.png,2020-01-03 09:01:01,76.6,78.6,8.0,18.0,16,180.0,176.0,28.8,7.2,182.6,181.0,25.8,6.5,181.3,177.0,26.9,4.8,172.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
61,greyscale,BACC_LYR_20200103_090102.png,BACC_NYA_20200103_090102.png,2020-01-03 09:01:02,76.6,78.6,8.0,18.0,22,178.5,172.0,37.1,7.9,183.2,185.0,37.1,7.9,180.8,180.0,36.7,5.5,174.0,178.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
61,RGBproduct,BACC_LYR_20200103_090102.png,BACC_NYA_20200103_090102.png,2020-01-03 09:01:02,76.6,78.6,8.0,18.0,21,178.6,172.0,31.1,6.8,184.5,182.0,35.6,7.8,181.5,179.0,33.2,5.1,172.0,178.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
62,greyscale,BACC_LYR_20200103_090103.png,BACC_NYA_20200103_090103.png,2020-01-03 09:01:03,76.6,78.6,8.0,18.0,18,176.4,174.0,28.1,6.6,181.3,180.0,33.6,7.9,178.9,177.0,30.7,5.1,170.0,178.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
62,RGBproduct,BACC_LYR_20200103_090103.png,BACC_NYA_20200103_090103.png,2020-01-03 09:01:03,76.6,78.6,8.0,18.0,19,176.0,172.0,26.8,6.1,182.7,180.0,30.8,7.1,179.4,176.0,28.7,4.7,172.0,180.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
63,greyscale,BACC_LYR_20200103_090104.png,BACC_NYA_20200103_090104.png,2020-01-03 09:01:04,76.6,78.6,8.0,18.0,21,167.8,172.0,37.4,8.2,172.6,186.0,46.7,10.2,170.2,176.0,41.8,6.5,192.0,176.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
63,RGBproduct,BACC_LYR_20200103_090104.png,BACC_NYA_20200103_090104.png,2020-01-03 09:01:04,76.6,78.6,8.0,18.0,19,173.7,174.0,34.3,7.9,182.1,186.0,36.9,8.5,177.9,175.0,35.4,5.7,174.0,176.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
64,greyscale,BACC_LYR_20200103_090105.png,BACC_NYA_20200103_090105.png,2020-01-03 09:01:05,76.6,78.6,8.0,18.0,20,179.1,178.0,36.3,8.1,168.9,173.0,47.3,10.6,174.0,175.0,41.9,6.6,176.0,174.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
64,RGBproduct,BACC_LYR_20200103_090105.png,BACC_NYA_20200103_090105.png,2020-01-03 09:01:05,76.6,78.6,8.0,18.0,16,172.6,175.0,36.6,9.1,174.8,173.0,39.1,9.8,173.7,174.0,37.3,6.6,176.0,174.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
65,greyscale,BACC_LYR_20200103_090106.png,BACC_NYA_20200103_090106.png,2020-01-03 09:01:06,76.6,78.6,8.0,18.0,18,177.3,182.0,30.2,7.1,159.9,172.0,49.2,11.6,168.6,176.0,41.2,6.9,188.0,170.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
65,RGBproduct,BACC_LYR_20200103_090106.png,BACC_NYA_20200103_090106.png,2020-01-03 09:01:06,76.6,78.6,8.0,18.0,22,175.5,176.0,26.0,5.5,163.5,175.0,45.8,9.8,169.5,175.0,37.3,5.6,174.0,174.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
66,greyscale,BACC_LYR_20200103_090107.png,BACC_NYA_20200103_090107.png,2020-01-03 09:01:07,76.6,78.6,8.0,18.0,23,183.7,188.0,27.0,5.6,171.8,172.0,49.0,10.2,177.8,186.0,39.6,5.8,196.0,192.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
66,RGBproduct,BACC_LYR_20200103_090107.png,BACC_NYA_20200103_090107.png,2020-01-03 09:01:07,76.6,78.6,8.0,18.0,22,177.5,184.0,23.1,4.9,165.5,171.0,46.1,9.8,171.5,173.0,36.5,5.5,188.0,188.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
67,greyscale,BACC_LYR_20200103_090108.png,BACC_NYA_20200103_090108.png,2020-01-03 09:01:08,76.6,78.6,8.0,18.0,21,191.4,196.0,26.2,5.7,186.6,190.0,33.8,7.4,189.0,193.0,30.0,4.6,196.0,202.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
67,RGBproduct,BACC_LYR_20200103_090108.png,BACC_NYA_20200103_090108.png,2020-01-03 09:01:08,76.6,78.6,8.0,18.0,23,186.2,192.0,28.7,6.0,172.3,182.0,46.0,9.6,179.3,188.0,38.5,5.7,192.0,202.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
68,greyscale,BACC_LYR_20200103_090109.png,BACC_NYA_20200103_090109.png,2020-01-03 09:01:09,76.6,78.6,8.0,18.0,18,189.1,197.0,35.4,8.3,174.9,189.0,44.5,10.5,182.0,196.0,40.3,6.7,192.0,212.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
68,RGBproduct,BACC_LYR_20200103_090109.png,BACC_NYA_20200103_090109.png,2020-01-03 09:01:09,76.6,78.6,8.0,18.0,18,190.3,197.0,34.4,8.1,176.0,189.0,43.6,10.3,183.2,196.0,39.4,6.6,192.0,200.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
69,greyscale,BACC_LYR_20200103_090110.png,BACC_NYA_20200103_090110.png,2020-01-03 09:01:10,76.6,78.6,8.0,18.0,15,182.3,194.0,46.0,11.9,165.6,180.0,49.4,12.8,173.9,186.0,47.7,8.7,192.0,212.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
69,RGBproduct,BACC_LYR_20200103_090110.png,BACC_NYA_20200103_090110.png,2020-01-03 09:01:10,76.6,78.6,8.0,18.0,14,181.9,196.0,47.4,12.7,161.4,161.0,46.8,12.5,171.6,185.0,47.4,8.9,192.0,212.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
70,greyscale,BACC_LYR_20200103_090111.png,BACC_NYA_20200103_090111.png,2020-01-03 09:01:11,76.6,78.6,8.0,18.0,12,178.0,193.0,40.1,11.6,171.5,182.0,50.0,14.4,174.8,189.0,44.5,9.1,198.0,188.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
70,RGBproduct,BACC_LYR_20200103_090111.png,BACC_NYA_20200103_090111.png,2020-01-03 09:01:11,76.6,78.6,8.0,18.0,11,171.3,190.0,41.6,12.6,165.5,176.0,50.8,15.3,168.4,183.0,45.4,9.7,198.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
71,greyscale,BACC_LYR_20200103_090112.png,BACC_NYA_20200103_090112.png,2020-01-03 09:01:12,76.6,78.6,8.0,18.0,14,171.1,184.0,43.7,11.7,168.6,186.0,47.9,12.8,169.9,186.0,45.0,8.5,192.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
71,RGBproduct,BACC_LYR_20200103_090112.png,BACC_NYA_20200103_090112.png,2020-01-03 09:01:12,76.6,78.6,8.0,18.0,17,178.0,192.0,42.3,10.2,177.1,188.0,46.7,11.3,177.5,190.0,43.9,7.5,196.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
72,greyscale,BACC_LYR_20200103_090113.png,BACC_NYA_20200103_090113.png,2020-01-03 09:01:13,76.6,78.6,8.0,18.0,9,164.2,188.0,53.4,17.8,162.2,180.0,56.8,18.9,163.2,184.0,53.5,12.6,192.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
72,RGBproduct,BACC_LYR_20200103_090113.png,BACC_NYA_20200103_090113.png,2020-01-03 09:01:13,76.6,78.6,8.0,18.0,10,169.6,187.0,47.4,15.0,173.2,185.0,52.3,16.5,171.4,187.0,48.6,10.9,192.0,190.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
74,greyscale,BACC_LYR_20200103_090115.png,BACC_NYA_20200103_090115.png,2020-01-03 09:01:15,76.6,78.6,8.0,18.0,16,172.1,173.0,41.1,10.3,184.6,191.0,38.7,9.7,178.4,185.0,39.8,7.0,194.0,196.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/greyscale
74,RGBproduct,BACC_LYR_20200103_090115.png,BACC_NYA_20200103_090115.png,2020-01-03 09:01:15,76.6,78.6,8.0,18.0,12,173.8,163.0,46.5,13.4,187.5,187.0,38.3,11.1,180.7,184.0,42.2,8.6,188.0,194.0,,/Users/guillaume/Code/japanese_code/out/BACC_image_pairs_triangulation - 0901/RGBproduct
